cell_id,order_name,seed,method,budget,final_average_accuracy,average_forgetting,total_wall_time_seconds,peak_gpu_memory_mb,max_rss_mb,sst2,mrpc,rte,ag_news
cell_041_O2_seed227_no_replay_b0,O2,227,no_replay,0,0.6052696285813512,0.040620769404332124,6.644843816757202,534.673828125,2129.015625,0.705078125,0.5122549019607843,0.516245487364621,0.6875
cell_042_O2_seed227_random_replay_b16,O2,227,random_replay,16,0.68682282818362,0.006491706189094189,6.662295579910278,534.6904296875,2131.015625,0.712890625,0.7009803921568627,0.5306859205776173,0.802734375
cell_043_O2_seed227_random_replay_b64,O2,227,random_replay,64,0.6889335981741523,0.009626955475330915,7.350006580352783,534.7451171875,2131.015625,0.685546875,0.7107843137254902,0.5234657039711191,0.8359375
cell_044_O2_seed227_random_replay_b256,O2,227,random_replay,256,0.6976844332329051,0.0,9.151850461959839,534.7578125,2132.26953125,0.640625,0.6838235294117647,0.5776173285198556,0.888671875
cell_045_O2_seed227_class_balanced_replay_b16,O2,227,class_balanced_replay,16,0.6671211446277518,0.03098367524657275,6.819533109664917,534.6904296875,2132.296875,0.666015625,0.6740196078431373,0.51985559566787,0.80859375
cell_046_O2_seed227_class_balanced_replay_b64,O2,227,class_balanced_replay,64,0.6918722722335775,0.0024067388688327287,7.424591779708862,534.71044921875,2132.296875,0.658203125,0.678921568627451,0.5631768953068592,0.8671875
cell_047_O2_seed227_class_balanced_replay_b256,O2,227,class_balanced_replay,256,0.6632717518979614,0.0,10.912694931030273,534.71044921875,2132.296875,0.638671875,0.5661764705882353,0.5595667870036101,0.888671875
cell_048_O2_seed227_hard_example_replay_b16,O2,227,hard_example_replay,16,0.47839119571565086,0.22835142442957926,8.583268404006958,534.6982421875,2132.296875,0.58203125,0.3161764705882353,0.5270758122743683,0.48828125
cell_049_O2_seed227_hard_example_replay_b64,O2,227,hard_example_replay,64,0.5873928041715333,0.0998655610709988,9.057796239852905,534.5576171875,2132.296875,0.634765625,0.6838235294117647,0.5270758122743683,0.50390625
cell_050_O2_seed227_hard_example_replay_b256,O2,227,hard_example_replay,256,0.605337235159181,0.04169911045043769,11.978724241256714,534.76416015625,2132.296875,0.6015625,0.49754901960784315,0.47653429602888087,0.845703125
cell_051_O2_seed349_no_replay_b0,O2,349,no_replay,0,0.645168880954909,0.0,6.627450942993164,534.673828125,2132.41796875,0.728515625,0.5392156862745098,0.49458483754512633,0.818359375
cell_052_O2_seed349_random_replay_b16,O2,349,random_replay,16,0.6287402405964642,0.045847905385078214,6.726045608520508,534.6982421875,2132.41796875,0.685546875,0.6323529411764706,0.4548736462093863,0.7421875
cell_053_O2_seed349_random_replay_b64,O2,349,random_replay,64,0.6063290748102039,0.09815935907305161,8.548586130142212,534.712890625,2132.41796875,0.708984375,0.45588235294117646,0.44404332129963897,0.81640625
cell_054_O2_seed349_random_replay_b256,O2,349,random_replay,256,0.6712201217637326,0.02042483660130719,9.19697618484497,534.67041015625,2132.41796875,0.7265625,0.5906862745098039,0.49458483754512633,0.873046875
cell_055_O2_seed349_class_balanced_replay_b16,O2,349,class_balanced_replay,16,0.6116058096862391,0.07604421977124182,6.7576775550842285,534.6982421875,2132.41796875,0.69921875,0.47794117647058826,0.5270758122743683,0.7421875
cell_056_O2_seed349_class_balanced_replay_b64,O2,349,class_balanced_replay,64,0.6612228854763927,0.02412683823529412,7.243894100189209,534.337890625,2132.41796875,0.69140625,0.5931372549019608,0.5595667870036101,0.80078125
cell_057_O2_seed349_class_balanced_replay_b256,O2,349,class_balanced_replay,256,0.6756734112868974,0.006491706189094189,9.200399160385132,534.7216796875,2132.41796875,0.685546875,0.6323529411764706,0.5234657039711191,0.861328125
cell_058_O2_seed349_hard_example_replay_b16,O2,349,hard_example_replay,16,0.4790134458284668,0.2819870822125481,8.465633153915405,534.74560546875,2132.41796875,0.7265625,0.3161764705882353,0.4729241877256318,0.400390625
cell_059_O2_seed349_hard_example_replay_b64,O2,349,hard_example_replay,64,0.6332912416715333,0.0703125,8.958765983581543,534.6904296875,2132.41796875,0.71484375,0.6838235294117647,0.5270758122743683,0.607421875
cell_060_O2_seed349_hard_example_replay_b256,O2,349,hard_example_replay,256,0.5845562312526544,0.1315241499728652,10.846488952636719,534.7216796875,2132.41796875,0.693359375,0.3161764705882353,0.4693140794223827,0.859375
